2026-03-10 14:03:12 | dct_attack | INFO | DCT: processed 100/121 frames
2026-03-10 14:03:14 | dct_attack | INFO | DCT attack complete: 121 frames attacked, 0 failed
2026-03-10 14:03:20 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:03:24 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:03:26 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:03:32 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:03:36 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:03:38 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:03:44 | dct_attack | INFO | DCT: processed 50/97 frames
2026-03-10 14:03:48 | dct_attack | INFO | DCT attack complete: 97 frames attacked, 0 failed
2026-03-10 14:03:54 | dct_attack | INFO | DCT: processed 50/97 frames
2026-03-10 14:03:58 | dct_attack | INFO | DCT attack complete: 97 frames attacked, 0 failed
2026-03-10 14:04:04 | dct_attack | INFO | DCT: processed 50/102 frames
2026-03-10 14:04:08 | dct_attack | INFO | DCT: processed 100/102 frames
2026-03-10 14:04:08 | dct_attack | INFO | DCT attack complete: 102 frames attacked, 0 failed
2026-03-10 14:04:14 | dct_attack | INFO | DCT: processed 50/102 frames
2026-03-10 14:04:18 | dct_attack | INFO | DCT: processed 100/102 frames
2026-03-10 14:04:18 | dct_attack | INFO | DCT attack complete: 102 frames attacked, 0 failed
2026-03-10 14:04:24 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:04:28 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:04:30 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:04:36 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:04:40 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:04:42 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:04:48 | dct_attack | INFO | DCT: processed 50/121 frames
2026-03-10 14:04:53 | dct_attack | INFO | DCT: processed 100/121 frames
2026-03-10 14:04:55 | dct_attack | INFO | DCT attack complete: 121 frames attacked, 0 failed
2026-03-10 14:05:00 | dct_attack | INFO | DCT: processed 50/121 frames
2026-03-10 14:05:04 | dct_attack | INFO | DCT: processed 100/121 frames
2026-03-10 14:05:06 | dct_attack | INFO | DCT attack complete: 121 frames attacked, 0 failed
2026-03-10 14:05:12 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:05:16 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:05:18 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:05:24 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:05:28 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:05:30 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:05:36 | dct_attack | INFO | DCT: processed 50/123 frames
2026-03-10 14:05:40 | dct_attack | INFO | DCT: processed 100/123 frames
2026-03-10 14:05:42 | dct_attack | INFO | DCT attack complete: 123 frames attacked, 0 failed
2026-03-10 14:05:48 | dct_attack | INFO | DCT: processed 50/123 frames
